turns,white_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_shortname_cod,opening_variation_cod,rated_cod
58,1335,6,1,0,108,72,612,1
37,1500,10,1,2,37,102,357,0
102,2013,3,3,0,19,33,41,1
63,1976,10,3,2,355,109,420,1
21,1668,5,1,2,128,84,0,1
80,1747,4,2,0,19,90,57,1
95,1443,2,1,2,374,70,612,1
2,1491,2,2,0,3,73,137,1
49,1832,4,3,2,37,96,61,1
100,1508,3,1,0,19,38,282,1
113,1731,3,3,2,54,109,28,1
99,1119,1,2,2,31,9,612,1
101,1394,5,1,2,19,102,612,1
42,1362,3,1,0,41,61,591,1
76,1545,6,2,0,31,52,240,1
38,1704,4,1,0,363,110,612,1
53,1497,3,1,2,19,127,556,1
76,1575,10,3,0,19,58,470,1
53,2000,5,3,2,361,110,181,0
62,1757,3,3,0,19,109,28,1
44,1606,4,2,0,19,94,132,1
30,2012,6,3,0,19,38,548,1
133,1520,7,0,1,361,106,612,1
77,1954,2,3,2,295,33,216,1
26,1652,2,0,1,21,50,612,0
68,1257,3,1,0,315,94,0,0
44,1876,10,1,0,19,109,166,1
142,1099,2,1,0,19,70,612,0
89,1538,6,3,2,102,109,206,1
88,1548,5,3,0,234,52,612,1
17,1252,1,3,2,298,93,612,1
26,1353,6,3,0,102,104,244,1
28,1967,2,3,2,295,127,500,1
22,1607,7,3,0,19,38,17,1
42,1805,2,3,0,19,29,612,1
54,1957,7,3,0,14,90,561,1
83,1629,4,3,0,19,94,286,1
93,1508,2,2,2,314,48,612,0
59,1140,3,2,2,19,38,282,1
57,1500,1,3,2,19,49,612,0
130,1228,3,1,0,19,61,591,1
138,1663,5,0,1,19,110,0,1
27,999,4,3,0,315,61,152,1
92,1375,3,1,0,350,38,282,0
30,1759,2,1,0,19,93,612,1
53,2170,8,1,2,102,83,29,0
51,2025,5,3,2,219,70,563,1
80,1200,2,3,0,117,94,612,1
80,1178,2,3,0,41,0,612,1
30,2130,10,1,0,199,52,569,1
28,1549,4,3,0,298,17,612,1
141,1976,4,3,2,355,59,377,1
38,1730,8,1,0,117,52,569,1
29,1257,4,1,2,19,31,612,1
74,1563,6,3,2,58,96,10,1
44,1577,2,1,0,390,38,0,1
136,2054,1,1,0,19,49,612,1
57,1982,4,3,0,361,109,385,1
115,1196,4,1,2,370,83,0,1
14,1279,1,3,0,380,73,612,1
100,1381,3,1,0,187,109,28,1
57,1500,3,3,2,329,109,504,0
67,1175,5,1,2,19,101,560,1
20,1240,7,3,0,28,102,181,1
99,1788,4,1,2,19,49,123,1
31,1729,10,3,2,37,57,588,1
